,day,US_Israel_Coalition_Air,Iran_Air_Defense
0,0.0,2425.0,800.0
1,0.5,2425.584551925016,792.0603785391326
2,1.0,2426.18821118494,784.118567203007
3,1.5,2426.8109831341403,776.1744955469017
4,2.0,2427.452873295796,768.228093119007
5,2.5,2428.1138873628483,760.2792894442654
6,3.0,2428.7940311980497,752.3280140235271
7,3.5,2429.4933108339624,744.3741963335494
8,4.0,2430.2117324729597,736.4177658269977
9,4.5,2430.949302487226,728.4586519324441
10,5.0,2431.706027418755,720.4967840543688
11,5.5,2432.4819139793535,712.5320915731593
12,6.0,2433.276969050636,704.5645038451105
13,6.5,2434.091199684031,696.5939502024249
14,7.0,2434.9246131024775,688.6203599348228
15,7.5,2435.7772166988066,680.6436623107321
16,8.0,2436.649018033597,672.6637865999552
17,8.5,2437.5400248381893,664.6806620391022
18,9.0,2438.4502450147093,656.6942178313898
19,9.5,2439.379686636066,648.7043831466403
20,10.0,2440.328357945949,640.7110871212826
21,10.5,2441.296267358833,632.7142588583514
22,11.0,2442.283423459975,624.7138274274878
23,11.5,2443.2898350054143,616.7097218649388
24,12.0,2444.3155109219742,608.7018711735577
25,12.5,2445.36046030726,600.6902043228039
26,13.0,2446.42469242966,592.6746502487428
27,13.5,2447.5082167283463,584.6551378540461
28,14.0,2448.611042813273,576.6315960079914
29,14.5,2449.7331804651767,568.6039535464629
30,15.0,2450.8746396356514,560.5721392715315
31,15.5,2452.0354304520283,552.5360819255427
32,16.0,2453.215563210367,544.4957102354574
33,16.5,2454.415048375629,536.450952905442
34,17.0,2455.633896585123,528.4017385956594
35,17.5,2456.8721186485013,520.3479959222689
36,18.0,2458.1297255477625,512.2896534574263
37,18.5,2459.406728437249,504.22663972928405
38,19.0,2460.7031386436497,496.158883221991
39,19.5,2462.0189676659984,488.08631237569256
40,20.0,2463.3542271756733,480.0088555865306
41,20.5,2464.7089290163985,471.9264412066435
42,21.0,2466.083085204243,463.8389975441661
43,21.5,2467.476707927622,455.7464528632299
44,22.0,2468.889809547294,447.6487353839627
45,22.5,2470.322402596364,439.5457732824889
46,23.0,2471.774499780282,431.4374946909295
47,23.5,2473.2461139770476,423.32382769724967
48,24.0,2474.73725823987,415.2047003417349
49,24.5,2476.2479457945087,407.08004061462805
50,25.0,2477.778190039782,398.94977645559476
51,25.5,2479.328004548169,390.81383575342414
52,26.0,2480.897403065808,382.67214634602914
53,26.5,2482.4863995124992,374.5246360204462
54,27.0,2484.0950079817244,366.3712325127791
55,27.5,2485.7232427408817,358.21186350735616
56,28.0,2487.371118231469,350.04645663536616
57,28.5,2489.0386490692595,341.8749394740233
58,29.0,2490.725850044335,333.69723954644013
59,29.5,2492.4327361212117,325.5132843210703
60,30.0,2494.159322350985,317.32585051088984
61,30.5,2495.905548391021,309.2064659679509
62,31.0,2497.6711462385992,301.23272402636763
63,31.5,2499.455750078265,293.4068853837054
64,32.0,2501.2590077234686,285.72820117217896
65,32.5,2503.080564854098,278.1969425134369
66,33.0,2504.920065975162,270.8132621086652
67,33.5,2506.7771557633023,263.57732520745
68,34.0,2508.6514788798527,256.48930803612024
69,34.5,2510.542679471025,249.54939010583578
70,35.0,2512.4504011679114,242.75775421258703
71,35.5,2514.374287086481,236.11458643719516
72,36.0,2516.3139798275847,229.620076145312
73,36.5,2518.269121476951,223.27441598742016
74,37.0,2520.239353605188,217.0778018988329
75,37.5,2522.2243172677827,211.03043309969416
76,38.0,2524.2236530051023,205.13251209497872
77,38.5,2526.2370008423914,199.38424467449187
78,39.0,2528.264000289775,193.78583991286973
79,39.5,2530.3042903422574,188.33751016957916
80,40.0,2532.357509479722,183.0394710889176
81,40.5,2534.4232956669302,177.8919416000133
82,41.0,2536.5012863535235,172.89514391682513
83,41.5,2538.5911184740235,168.0493035381428
84,42.0,2540.6924284478287,163.35464924758656
85,42.5,2542.8048521792193,158.8114131136075
86,43.0,2544.9280250573524,154.4198304894873
87,43.5,2547.061581956266,150.1801400133385
