month,USA,Israel,Iran,Saudi_Arabia,China,EU,India
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1.0,-0.21238855177993535,-0.6626504854368933,1.0574854368932047,1.6906422703510098,-0.48548058252427195,-0.9212071197411006,-0.5370938511326863
2.0,-0.4247771035598707,-1.3253009708737866,2.1149708737864095,3.3812845407020196,-0.9709611650485439,-1.8424142394822012,-1.0741877022653725
3.0,-0.6371656553398061,-1.9879514563106802,3.1724563106796144,5.07192681105303,-1.456441747572816,-2.763621359223302,-1.611281553398059
4.0,-0.6027328849308741,-1.880521503824082,3.0010150867804044,4.797837192517708,-1.3777348620276222,-2.614273793230268,-1.5242070425116958
5.0,-0.5701608797218523,-1.7788971230251804,2.8388386376719823,4.538559522535178,-1.3032813383779855,-2.4729970490209796,-1.4418380844383156
6.0,-0.5393490829730976,-1.6827645777366729,2.685426290004194,4.29329335553912,-1.2328513226881377,-2.339354975099884,-1.363920388604817
7.0,-0.5102023720845823,-1.5918270862509005,2.540304427080633,4.0612815024667315,-1.166227382451074,-2.212934989829886,-1.2902134064357218
8.0,-0.4826307649321035,-1.5058039051013057,2.4030250267027005,3.8418076931542995,-1.1032038353279452,-2.0933468077046773,-1.2204895887283242
9.0,-0.45654914207323855,-1.4244294623473646,2.2731642780293524,3.6341943650581667,-1.0435861141627298,-1.9802212344539893,-1.1545336831596822
10.0,-0.4318769839654401,-1.3474525376972624,2.150321273182477,3.437800571474383,-0.987190166311851,-1.8732090272619952,-1.0921420697567048
11.0,-0.4085381223850034,-1.2746354869371759,2.034116769558616,3.2520200027992825,-0.9338418854343401,-1.771979816580116,-1.0331221322777882
12.0,-0.386460505279485,-1.2057535082728073,1.9241920190260138,3.0762791147221873,-0.8833765739883608,-1.676221086205634,-0.9772916635653215
13.0,-0.3655759743276218,-1.1405939483182137,1.8202076603924844,2.9100353575715743,-0.8356384347747077,-1.5856372084774029,-0.9244783030332607
14.0,-0.3458200545200305,-1.0789556455893683,1.721842671724901,2.752775501348316,-0.7904800899575634,-1.4999485316100902,-0.8745190045531711
15.0,-0.3271317551110767,-1.020648309475675,1.6287933792858933,2.604014051275008,-0.7477621260776288,-1.4188905163493637,-0.827259533095991
16.0,-0.30945338132741224,-0.9654919327721977,1.5407725200281397,2.4632917489698616,-0.7073526636529875,-1.3422129192826904,-0.7825539885755425
17.0,-0.2927303562518816,-0.9133162359589546,1.4575083547519576,2.3301741546179477,-0.669126950038966,-1.269679020284453,-0.7402643554237911
18.0,-0.2769110523329182,-0.8639601415116587,1.3787438291883352,2.2042503057626646,-0.632966974290064,-1.2010648917103435,-0.7002600765072985
19.0,-0.2619466319992608,-0.8172712766209826,1.3042357804174778,2.085131448576826,-0.5987611028349513,-1.1361587070848784,-0.6624176500694551
20.0,-0.2477908968879367,-0.773105502785139,1.233754186172918,1.972449837696529,-0.5664037348397797,-1.074760087147809,-0.6266202484541693
21.0,-0.23440014522004368,-0.731326470823528,1.1670814547136321,1.8658576009126442,-0.5357949761958464,-1.0166794812405302,-0.5927573574339314
22.0,-0.2217330368840212,-0.6918051999376836,1.1040117530718427,1.7650256652149763,-0.5068403311251359,-0.9617375821226977,-0.5607244350287794
23.0,-0.20975046580989293,-0.6544196795199898,1.0443503716026674,1.6696427408735692,-0.4794504104516627,-0.9097647724124638,-0.5304225887628703
24.0,-0.198415439240473,-0.6190544924808653,0.9879131228738425,1.579414360420798,-0.45354065563798557,-0.8606006009413787,-0.5017582703622765
25.0,-0.1876929635268204,-0.5856004589315464,0.9345257730397639,1.4940619695673765,-0.429031077734935,-0.8140932874073497,-0.4746429869514763
26.0,-0.17754993609536798,-0.553954299122444,0.8840235039443798,1.4133220672457518,-0.4058460104386364,-0.7700992537964194,-0.4489930278569394
27.0,-0.16795504325320443,-0.5240183145964865,0.8362504042923233,1.336945392126003,-0.38391387649246206,-0.7284826811267573,-0.4247292061743909
28.0,-0.1588786635160141,-0.49570008657311077,0.7910589883174342,1.2646961530928613,-0.36316696671274695,-0.6891150901464439,-0.40177661430191897
29.0,-0.15029277616022538,-0.4689121906317375,0.7483097404626831,1.1963513013081524,-0.34354123095607103,-0.6518749446905678,-0.38006439268420156
30.0,-0.14217087471705017,-0.44357192681390634,0.7078706846658391,1.1316998416113775,-0.3249760803827814,-0.6166472764731167,-0.35952551105391967
31.0,-0.13448788514135107,-0.4196010643108335,0.6696169769211657,1.0705421811325693,-0.30741420040629824,-0.5833233301553128,-0.3400965614949993
32.0,-0.12722008840270652,-0.3969255999481896,0.6334305198592998,1.0126895131064555,-0.29080137375073983,-0.5518002275946455,-0.3217175626888266
33.0,-0.12034504725969601,-0.37547552972248865,0.5991995981554396,0.9579632339856335,-0.27508631307060766,-0.5219806502380632,-0.30433177473910145
34.0,-0.11384153699134163,-0.35518463268377176,0.5668185336402668,0.9061943920532572,-0.2602205026157922,-0.49377253867880627,-0.28788552400365375
35.0,-0.10768947987185945,-0.3359902664973854,0.5361873590488585,0.8572231658329886,-0.24615804845308645,-0.467088808449349,-0.27232803739244227
36.0,-0.10186988318642996,-0.31783317405370926,0.5072115094003793,0.81089837068595,-0.23285553678180745,-0.44184708117304006,-0.25761128562017643
